position,trial,id,set,item,repetition,is_practice
1,1,q0001,00,01,1,true
2,2,q0002,00,02,1,true
3,1,q0102,01,02,1,false
4,2,q0503,05,03,1,false
5,3,q0601,06,01,1,false
6,4,q0404,04,04,1,false
7,5,q0801,08,01,1,false
8,6,q1004,10,04,1,false
9,7,q0201,02,01,1,false
10,8,q0305,03,05,1,false
11,9,q0803,08,03,1,false
12,10,q0202,02,02,1,false
13,11,q0505,05,05,1,false
14,12,q0903,09,03,1,false
15,13,q1001,10,01,1,false
16,14,q0103,01,03,1,false
17,15,q0501,05,01,1,false
18,16,q0604,06,04,1,false
19,17,q0405,04,05,1,false
20,18,q0703,07,03,1,false
21,19,q1005,10,05,1,false
22,20,q0302,03,02,1,false
23,21,q0105,01,05,1,false
24,22,q0904,09,04,1,false
25,23,q0802,08,02,1,false
26,24,q0303,03,03,1,false
27,25,q0805,08,05,1,false
28,26,q0702,07,02,1,false
29,27,q0205,02,05,1,false
30,28,q0804,08,04,1,false
31,29,q0905,09,05,1,false
32,30,q0101,01,01,1,false
33,31,q0605,06,05,1,false
34,32,q0401,04,01,1,false
35,33,q0603,06,03,1,false
36,34,q0701,07,01,1,false
37,35,q0402,04,02,1,false
38,36,q0203,02,03,1,false
39,37,q1002,10,02,1,false
40,38,q0704,07,04,1,false
41,39,q0502,05,02,1,false
42,40,q0104,01,04,1,false
43,41,q1003,10,03,1,false
44,42,q0301,03,01,1,false
45,43,q0403,04,03,1,false
46,44,q0602,06,02,1,false
47,45,q0705,07,05,1,false
48,46,q0902,09,02,1,false
49,47,q0304,03,04,1,false
50,48,q0901,09,01,1,false
51,49,q0204,02,04,1,false
52,50,q0702,07,02,2,false
53,51,q0504,05,04,1,false
54,52,q0302,03,02,2,false
55,53,q0105,01,05,2,false
56,54,q0804,08,04,2,false
57,55,q0401,04,01,2,false
58,56,q0603,06,03,2,false
59,57,q0405,04,05,2,false
60,58,q0503,05,03,2,false
61,59,q0902,09,02,2,false
62,60,q1003,10,03,2,false
63,61,q0301,03,01,2,false
64,62,q1004,10,04,2,false
65,63,q0903,09,03,2,false
66,64,q0404,04,04,2,false
67,65,q0201,02,01,2,false
68,66,q0802,08,02,2,false
69,67,q0604,06,04,2,false
70,68,q0102,01,02,2,false
71,69,q0304,03,04,2,false
72,70,q0801,08,01,2,false
73,71,q0205,02,05,2,false
74,72,q0601,06,01,2,false
75,73,q0403,04,03,2,false
76,74,q0502,05,02,2,false
77,75,q1001,10,01,2,false
78,76,q0303,03,03,2,false
79,77,q0905,09,05,2,false
80,78,q0204,02,04,2,false
81,79,q1002,10,02,2,false
82,80,q0901,09,01,2,false
83,81,q0703,07,03,2,false
84,82,q0605,06,05,2,false
85,83,q0504,05,04,2,false
86,84,q0402,04,02,2,false
87,85,q0104,01,04,2,false
88,86,q0501,05,01,2,false
89,87,q0803,08,03,2,false
90,88,q0904,09,04,2,false
91,89,q0202,02,02,2,false
92,90,q0704,07,04,2,false
93,91,q0305,03,05,2,false
94,92,q0602,06,02,2,false
95,93,q0701,07,01,2,false
96,94,q0505,05,05,2,false
97,95,q0103,01,03,2,false
98,96,q0705,07,05,2,false
99,97,q0101,01,01,2,false
100,98,q1005,10,05,2,false
101,99,q0203,02,03,2,false
102,100,q0805,08,05,2,false
